ID	Original Text	Translated Text
676	We only have a few more hours until mealtime. Our break won’t last long. with Drahvix barking orders as soon as we sit down. But at least I can finally eat something. 	We only have a few more hours until mealtime. Our break won’t last long. with Drahvix barking orders as soon as we sit down. But at least I can finally eat something. 
677	With so many crews skipping out on their assignments to search for the Lost Colony. our workloads have gotten out of hand. It's refreshing to see a crew like yours pull your own weight.	With so many crews skipping out on their assignments to search for the Lost Colony. our workloads have gotten out of hand. It's refreshing to see a crew like yours pull your own weight.
678	Whether or not you have a history with the W.D. Corporation. I think it would be best if you left this station. Many supervisors would bristle at the thought of an outsider roaming around W.D. Headquarters. I'd rather not see anyone get in trouble.	Whether or not you have a history with the W.D. Corporation. I think it would be best if you left this station. Many supervisors would bristle at the thought of an outsider roaming around W.D. Headquarters. I'd rather not see anyone get in trouble.
679	You have my undying gratitude. My grandson’s name is Edvin. Please. give this audio log to him. It contains a message I’d very much like him to hear. I appreciate your assistance more than you know. and I will ensure that you are properly compensated for your time. Be careful on your journey. 	You have my undying gratitude. My grandson’s name is Edvin. Please. give this audio log to him. It contains a message I’d very much like him to hear. I appreciate your assistance more than you know. and I will ensure that you are properly compensated for your time. Be careful on your journey. 
680	Then I’ll have to find another crew to deliver the message for me. Thank you for listening nevertheless. and good luck with your assignments. 	Then I’ll have to find another crew to deliver the message for me. Thank you for listening nevertheless. and good luck with your assignments. 
681	You see. I have a grandson in this galaxy. A few years ago. he joined a civilian transport crew that I was quite certain had ties to the Alliance of Gentlemen. He and I had a heated argument over the matter. which ended rather poorly. I have not seen him since. All this time. I assumed the worst—that my grandson had perished during some odd job out in the galaxy. Yet it seems he is very much alive and well. and he may currently be docked at Cornelia Station. I cannot reach him through a long range transmission. nor can I leave W.D. Headquarters with my own ship at this time. However. I want to reconnect with my grandson. If your crew is not too swamped with work. would you go in my stead to Cornelia Station and speak with him? 	You see. I have a grandson in this galaxy. A few years ago. he joined a civilian transport crew that I was quite certain had ties to the Alliance of Gentlemen. He and I had a heated argument over the matter. which ended rather poorly. I have not seen him since. All this time. I assumed the worst—that my grandson had perished during some odd job out in the galaxy. Yet it seems he is very much alive and well. and he may currently be docked at Cornelia Station. I cannot reach him through a long range transmission. nor can I leave W.D. Headquarters with my own ship at this time. However. I want to reconnect with my grandson. If your crew is not too swamped with work. would you go in my stead to Cornelia Station and speak with him? 
682	Well. it couldn’t hurt to ask. Good luck with your assignments. 	Well. it couldn’t hurt to ask. Good luck with your assignments. 
683	If your work permits you. could you spare a bit of time to help me with a personal matter? 	If your work permits you. could you spare a bit of time to help me with a personal matter? 
684	My grandson’s name is Edvin. Please. give the audio log to him. It contains a message I’d very much like him to hear. I appreciate your assistance more than you know. and I will ensure that you are properly compensated for your time. Be careful on your journey.	My grandson’s name is Edvin. Please. give the audio log to him. It contains a message I’d very much like him to hear. I appreciate your assistance more than you know. and I will ensure that you are properly compensated for your time. Be careful on your journey.
685	I received a transmission from my grandson the other day. It was wonderful to hear from him again. I cannot thank you enough for your help. and I wish you safe travels on your assignments. 	I received a transmission from my grandson the other day. It was wonderful to hear from him again. I cannot thank you enough for your help. and I wish you safe travels on your assignments. 
686	Hm… Ah. I apologize. Do you need something? Forgive an old man for getting lost in his thoughts. 	Hm… Ah. I apologize. Do you need something? Forgive an old man for getting lost in his thoughts. 
687	Wulfrom Kas. my dear friend over here. is a remarkable unit captain. I have twenty Union years on Wulfrom. and even I can learn a thing or two from him. If you have the opportunity to work with him in the future. I advise you to do so. 	Wulfrom Kas. my dear friend over here. is a remarkable unit captain. I have twenty Union years on Wulfrom. and even I can learn a thing or two from him. If you have the opportunity to work with him in the future. I advise you to do so. 
